Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Season,Point_per_match,Win_percentage
17,Sevilla,38,10,11,17,42,55,-13,41,24/25,1.08,26.32
17,Rayo Vallecano,38,8,14,16,29,48,-19,38,23/24,1.0,21.05
17,Almeria,38,11,8,19,49,65,-16,41,22/23,1.08,28.95
17,Cadiz,38,8,15,15,35,51,-16,39,21/22,1.03,21.05
17,Elche,38,8,12,18,34,55,-21,36,20/21,0.95,21.05
17,Celta Vigo,38,7,16,15,37,49,-12,37,19/20,0.97,18.42
17,Celta Vigo,38,10,11,17,53,62,-9,41,18/19,1.08,26.32
17,Leganes,38,12,7,19,34,51,-17,43,17/18,1.13,31.58
17,Leganes,38,8,11,19,36,55,-19,35,16/17,0.92,21.05
17,Sporting Gijon,38,10,9,19,40,62,-22,39,15/16,1.03,26.32
17,Granada,38,7,14,17,29,64,-35,35,14/15,0.92,18.42
