Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Season,Point_per_match,Win_percentage
5,Villarreal,38,20,10,8,71,51,20,70,24/25,1.84,52.63
5,Athletic Bilbao,38,19,11,8,61,37,24,68,23/24,1.79,50.0
5,Villarreal,38,19,7,12,59,40,19,64,22/23,1.68,50.0
5,Real Betis,38,19,8,11,62,40,22,65,21/22,1.71,50.0
5,Real Sociedad,38,17,11,10,59,38,21,62,20/21,1.63,44.74
5,Villarreal,38,18,6,14,63,49,14,60,19/20,1.58,47.37
5,Getafe,38,15,14,9,48,35,13,59,18/19,1.55,39.47
5,Villarreal,38,18,7,13,57,50,7,61,17/18,1.61,47.37
5,Villarreal,38,19,10,9,56,33,23,67,16/17,1.76,50.0
5,Athletic Bilbao,38,18,8,12,58,45,13,62,15/16,1.63,47.37
5,Sevilla,38,23,7,8,71,45,26,76,14/15,2.0,60.53
